x,sin(x),Taylor_1,Error_1,Taylor_3,Error_3,Taylor_5,Error_5,Taylor_7,Error_7,Taylor_9,Error_9
-9.769884942471236,0.3382973531657498,-9.769884942471236,10.108182295636986,145.65376266813695,145.3154653149712,-596.110660725664,596.4489580788298,1089.6488080106137,1089.310510657448,-1145.1684149139533,1145.506712267119
-9.759879939969984,0.3288654783725954,-9.759879939969984,10.08874541834258,145.1867644818811,144.85789900350852,-592.7873529845289,593.1162184629014,1080.9248805222646,1080.596015043892,-1133.379119670154,1133.7079851485266
-9.749874937468734,0.31940068439497865,-9.749874937468734,10.069275621863712,144.7207432603398,144.4013425759448,-589.4785784575648,589.7979791419598,1072.2602912136708,1071.9408905292757,-1121.698025583,1122.017426267395
-9.739869934967484,0.30990391865158223,-9.739869934967484,10.049773853619065,144.25569800201148,143.9457940833599,-586.1842904960035,586.4941944146551,1063.6547088758637,1063.344804957212,-1110.1242653236857,1110.4341692423372
-9.729864932466233,0.30037613176144007,-9.729864932466233,10.030241064227674,143.7916277053946,143.49125157363315,-582.9044425487713,583.2048186805328,1055.107803749981,1054.8074276182197,-1098.656977470022,1098.9573536017833
-9.719859929964983,0.2908182774487792,-9.719859929964983,10.010678207413761,143.32853136898768,143.0377130915389,-579.6389881623886,579.9298064398374,1046.619247522612,1046.3284292451633,-1087.2953064734274,1087.5861247508763
-9.709854927463732,0.28123131244755284,-9.709854927463732,9.991086239911285,142.86640799128926,142.58517667884172,-576.3878809808689,576.6691122933164,1038.1887133211392,1037.9074820086917,-1076.0384026260583,1076.3196339385058
-9.699849924962482,0.27161619640567203,-9.699849924962482,9.971466121368154,142.4052565707978,142.13364037439214,-573.1510747456189,573.4226909420246,1029.8158757091044,1029.5442595126988,-1064.8854220280948,1065.1570382245004
-9.68984492246123,0.2619738917889438,-9.68984492246123,9.951818814250174,141.94507610601173,141.68310221422277,-569.928523295338,570.1904971871269,1021.5004106815734,1021.2384367897845,-1053.8355265551575,1054.0975004469465
-9.67983991995998,0.2523053637847361,-9.67983991995998,9.932145283744715,141.48586559542966,141.23356023164493,-566.7201805659198,566.9724859297046,1013.2419956605237,1012.9896902967389,-1042.887883825887,1043.1401891896717
-9.66983491745873,0.24261158020535287,-9.66983491745873,9.912446497664082,141.02762403755008,140.78501245734472,-563.526000590349,563.7686121705543,1005.040309490222,1004.7976979100166,-1032.0416671696391,1032.2842787498446
-9.659829914957479,0.23289351139116352,-9.659829914957479,9.892723426348642,140.57035043087146,140.3374569194803,-560.3459374986028,560.5788310099939,996.8950324326302,996.662138921239,-1021.296055594345,1021.5289491057362
-9.649824912456229,0.22315213011347118,-9.649824912456229,9.8729770425697,140.11404377389226,139.8908916437788,-557.1799455175507,557.4030976476641,988.8058461628128,988.5826940326994,-1010.6502337545054,1010.8733858846189
-9.639819909954978,0.21338841147713877,-9.639819909954978,9.853208321432117,139.65870306511107,139.44531465363394,-554.0279789708534,554.2413673823305,980.7724337643535,980.5590453528764,-1000.103391919323,1000.3167803308002
-9.629814907453726,0.20360333282298015,-9.629814907453726,9.833418240276707,139.20432730302622,139.00072397020324,-550.8899922788628,551.0935956116858,972.7944797247831,972.59087639196,-989.6547259409804,989.8583292738034
-9.619809904952476,0.1937978736299359,-9.619809904952476,9.813607778582412,138.75091548613642,138.5571176125065,-547.7659399585243,547.9597378321542,964.8716699310214,964.6778720573915,-979.3034372230634,979.4972350966933
-9.609804902451225,0.1839730154170178,-9.609804902451225,9.793777917868242,138.29846661294008,138.11449359752305,-544.6557766232717,544.8397496386887,957.0036916648165,956.8197186493995,-969.0487326891058,969.2327057045228
-9.599799899949975,0.17412974164506664,-9.599799899949975,9.773929641595041,137.8469796819357,137.67284994029063,-541.5594569829304,541.7335867245755,949.1902335982081,949.0161038565631,-958.8898247512964,959.0639544929414
-9.589794897448725,0.1642690376183066,-9.589794897448725,9.75406393506703,137.39645369162176,137.23218465400345,-538.4769358436168,538.6412048812351,941.4309857889901,941.2667167513719,-948.8259312793106,948.9902003169288
-9.579789894947474,0.15439189038571707,-9.579789894947474,9.734181785333192,136.94688764049673,136.79249575011102,-535.4081681076368,535.5625599980225,933.7256396761886,933.5712477858029,-938.8562755692863,939.0106674596719
-9.569784892446224,0.14449928864222997,-9.569784892446224,9.714284181088454,136.4982805270592,136.35378123841696,-532.3531087733866,532.4976080620288,926.0738880755484,925.9293887869062,-928.9800863129369,929.1245856015792
-9.559779889944972,0.13459222262976012,-9.559779889944972,9.694372112574731,136.0506313498075,135.91603912717775,-529.3117129352514,529.4463051578812,918.4754251750247,918.340832952395,-919.1965975668007,919.3311897894305
-9.549774887443721,0.12467168403809006,-9.549774887443721,9.67444657148181,135.60393910724034,135.47926742320226,-526.2839357835081,526.4086074675462,910.9299465302942,910.8052748462561,-909.5050487216344,909.6297204056724
-9.539769884942471,0.11473866590559195,-9.539769884942471,9.654508550848062,135.15820279785612,135.04346413195051,-523.2697326042206,523.3844712701263,903.4371490602633,903.3224103943577,-899.90468447193,900.0194231378356
-9.52976488244122,0.10479416251983226,-9.52976488244122,9.634559044961053,134.71342142015337,134.60862725763354,-520.2690587791425,520.3738529416623,895.9967310425949,895.891936880075,-890.3947547855809,890.4995489481007
-9.51975987993997,0.09483916931804257,-9.51975987993997,9.614599049258013,134.2695939726305,134.17475480331245,-517.2818697856162,517.3767089549342,888.6083921092418,888.5135529399238,-880.9745148736797,881.0693540429977
-9.50975487743872,0.0848746827874771,-9.50975487743872,9.594629560226197,133.82671945378613,133.74184477099865,-514.3081211964724,514.3929958792598,881.2718332419926,881.1869585592051,-871.6432251604509,871.7280998432384
-9.499749874937468,0.07490170036566329,-9.499749874937468,9.57465157530313,133.3847968621186,133.30989516175293,-511.3477686799298,511.4226703802955,873.9867567680179,873.9118550676523,-862.4001512533158,862.4750529536815
-9.489744872436217,0.06492122034056615,-9.489744872436217,9.554666092776783,132.9438251961266,132.87890397578602,-508.40076799949657,508.46568921983715,866.7528663554428,866.6879451351023,-853.2445639131047,853.3094851334453
-9.479739869934967,0.05493424175064974,-9.479739869934967,9.534674111685616,132.5038034543085,132.44886921255784,-505.46707501386675,505.5220092556174,859.5698670089079,859.5149327671572,-844.1757390243814,844.230673266132
-9.469734867433717,0.04494176428488133,-9.469734867433717,9.514676631718599,132.06473063516285,132.01978887087796,-502.54664567682266,502.59158744110755,852.4374650651584,852.3925233008736,-835.1929575659228,835.2378993302077
-9.459729864932466,0.03494478818266147,-9.459729864932466,9.494674653115128,131.62660573718816,131.5916609490055,-499.63943603713426,499.6743808253169,845.355368188632,845.3204234004494,-826.2955055813214,826.3304503695041
